city,condition,local_time,source_url,scraped_at,temperature_f,temperature_c,country
Winnipeg,Mild.,Sun 8:27 pm,https://www.timeanddate.com/weather/canada/winnipeg,2026-08-24 01:27:03.395074+00:00,73,22.8,canada
Dhaka,Low clouds. Warm.,Mon 7:27 am,https://www.timeanddate.com/weather/bangladesh/dhaka,2026-08-24 01:27:03.395074+00:00,80,26.7,bangladesh
Montréal,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/canada/montreal,2026-08-24 01:27:03.395074+00:00,66,18.9,canada
Yangon,Partly sunny. Warm.,Mon 7:57 am,https://www.timeanddate.com/weather/myanmar/yangon,2026-08-24 01:27:03.395074+00:00,81,27.2,myanmar
Doha,Clear. Hot.,Mon 4:27 am,https://www.timeanddate.com/weather/qatar/doha,2026-08-24 01:27:03.395074+00:00,91,32.8,qatar
Moscow,Clear. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/russia/moscow,2026-08-24 01:27:03.395074+00:00,59,15.0,russia
Zagreb,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/croatia/zagreb,2026-08-24 01:27:03.395074+00:00,57,13.9,croatia
Dubai,Clear. Extremely hot.,Mon 5:27 am,https://www.timeanddate.com/weather/united-arab-emirates/dubai,2026-08-24 01:27:03.395074+00:00,95,35.0,united-arab-emirates
Mumbai,Fog. Warm.,Mon 6:57 am,https://www.timeanddate.com/weather/india/mumbai,2026-08-24 01:27:03.395074+00:00,82,27.8,india
Zürich,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/switzerland/zurich,2026-08-24 01:27:03.395074+00:00,57,13.9,switzerland
Dublin,Passing clouds. Quite cool.,Mon 2:27 am,https://www.timeanddate.com/weather/ireland/dublin,2026-08-24 01:27:03.395074+00:00,45,7.2,ireland
Nairobi,Partly cloudy. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/kenya/nairobi,2026-08-24 01:27:03.395074+00:00,61,16.1,kenya
