City,Condition,Local-Time,Source-URL,Temperature,Scraped-At
Perth,Sunny. Cool.,Mon 9:27 am,https://www.timeanddate.com/weather/australia/perth,59 °F,2026-08-24T01:27:03.395074+00:00
Anchorage,Sunny. Mild.,Sun 5:27 pm,https://www.timeanddate.com/weather/usa/anchorage,63 °F,2026-08-24T01:27:03.395074+00:00
Hong Kong,Passing clouds. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/hong-kong/hong-kong,88 °F,2026-08-24T01:27:03.395074+00:00
Philadelphia,Partly cloudy. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/philadelphia,73 °F,2026-08-24T01:27:03.395074+00:00
Ankara,Clear. Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/turkey/ankara,63 °F,2026-08-24T01:27:03.395074+00:00
Honolulu,Scattered clouds. Hot.,Sun 3:27 pm,https://www.timeanddate.com/weather/usa/honolulu,88 °F,2026-08-24T01:27:03.395074+00:00
Phoenix,Scattered clouds. Extremely hot.,Sun 6:27 pm,https://www.timeanddate.com/weather/usa/phoenix,110 °F,2026-08-24T01:27:03.395074+00:00
Antananarivo,Passing clouds. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/madagascar/antananarivo,52 °F,2026-08-24T01:27:03.395074+00:00
Houston,Passing clouds. Hot.,Sun 8:27 pm,https://www.timeanddate.com/weather/usa/houston,92 °F,2026-08-24T01:27:03.395074+00:00
Prague,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/czech-republic/prague,50 °F,2026-08-24T01:27:03.395074+00:00
Asuncion,Clear. Mild.,Sun 10:27 pm,https://www.timeanddate.com/weather/paraguay/asuncion,63 °F,2026-08-24T01:27:03.395074+00:00
Indianapolis,Partly sunny. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/indianapolis,73 °F,2026-08-24T01:27:03.395074+00:00
Reykjavik,Clear. Cool.,Mon 1:27 am,https://www.timeanddate.com/weather/iceland/reykjavik,46 °F,2026-08-24T01:27:03.395074+00:00
Athens,Pleasantly warm.,Mon 4:27 am,https://www.timeanddate.com/weather/greece/athens,86 °F,2026-08-24T01:27:03.395074+00:00
Islamabad,Passing clouds. Warm.,Mon 6:27 am,https://www.timeanddate.com/weather/pakistan/islamabad,78 °F,2026-08-24T01:27:03.395074+00:00
Rio de Janeiro,Partly cloudy. Mild.,Sun 10:27 pm,https://www.timeanddate.com/weather/brazil/rio-de-janeiro,70 °F,2026-08-24T01:27:03.395074+00:00
Atlanta,Clear. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/atlanta,80 °F,2026-08-24T01:27:03.395074+00:00
Istanbul,Clear. Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/turkey/istanbul,75 °F,2026-08-24T01:27:03.395074+00:00
Riyadh,Clear. Hot.,Mon 4:27 am,https://www.timeanddate.com/weather/saudi-arabia/riyadh,90 °F,2026-08-24T01:27:03.395074+00:00
Auckland,Passing clouds. Cool.,Mon 1:27 pm,https://www.timeanddate.com/weather/new-zealand/auckland,61 °F,2026-08-24T01:27:03.395074+00:00
Jakarta,Partly sunny. Warm.,Mon 8:27 am,https://www.timeanddate.com/weather/indonesia/jakarta,77 °F,2026-08-24T01:27:03.395074+00:00
Rome,Clear. Warm.,Mon 3:27 am,https://www.timeanddate.com/weather/italy/rome,77 °F,2026-08-24T01:27:03.395074+00:00
Baghdad,Clear. Hot.,Mon 4:27 am,https://www.timeanddate.com/weather/iraq/baghdad,89 °F,2026-08-24T01:27:03.395074+00:00
Jerusalem,Refreshingly cool.,Mon 4:27 am,https://www.timeanddate.com/weather/israel/jerusalem,71 °F,2026-08-24T01:27:03.395074+00:00
Salt Lake City,Broken clouds. Hot.,Sun 7:27 pm,https://www.timeanddate.com/weather/usa/salt-lake-city,92 °F,2026-08-24T01:27:03.395074+00:00
Bangkok,Passing clouds. Warm.,Mon 8:27 am,https://www.timeanddate.com/weather/thailand/bangkok,84 °F,2026-08-24T01:27:03.395074+00:00
Johannesburg,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/south-africa/johannesburg,50 °F,2026-08-24T01:27:03.395074+00:00
San Francisco,Partly sunny. Mild.,Sun 6:27 pm,https://www.timeanddate.com/weather/usa/san-francisco,68 °F,2026-08-24T01:27:03.395074+00:00
Barcelona,Passing clouds. Warm.,Mon 3:27 am,https://www.timeanddate.com/weather/spain/barcelona,77 °F,2026-08-24T01:27:03.395074+00:00
Karachi,Passing clouds. Warm.,Mon 6:27 am,https://www.timeanddate.com/weather/pakistan/karachi,81 °F,2026-08-24T01:27:03.395074+00:00
San Juan,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/puerto-rico/san-juan,83 °F,2026-08-24T01:27:03.395074+00:00
Beijing,Passing clouds. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/china/beijing,77 °F,2026-08-24T01:27:03.395074+00:00
Kathmandu,Partly sunny. Mild.,Mon 7:12 am,https://www.timeanddate.com/weather/nepal/kathmandu,72 °F,2026-08-24T01:27:03.395074+00:00
San Salvador,Passing clouds. Warm.,Sun 7:27 pm,https://www.timeanddate.com/weather/el-salvador/san-salvador,82 °F,2026-08-24T01:27:03.395074+00:00
Belgrade,Clear. Mild.,Mon 3:27 am,https://www.timeanddate.com/weather/serbia/belgrade,64 °F,2026-08-24T01:27:03.395074+00:00
Kingston,Warm.,Sun 8:27 pm,https://www.timeanddate.com/weather/jamaica/kingston,85 °F,2026-08-24T01:27:03.395074+00:00
Santiago,Clear. Cool.,Sun 9:27 pm,https://www.timeanddate.com/weather/chile/santiago,55 °F,2026-08-24T01:27:03.395074+00:00
Bengaluru,Passing clouds. Mild.,Mon 6:57 am,https://www.timeanddate.com/weather/india/bengaluru,70 °F,2026-08-24T01:27:03.395074+00:00
Kinshasa,Passing clouds. Mild.,Mon 2:27 am,https://www.timeanddate.com/weather/congo-demrep/kinshasa,73 °F,2026-08-24T01:27:03.395074+00:00
Santo Domingo,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/dominican-republic/santo-domingo,85 °F,2026-08-24T01:27:03.395074+00:00
Berlin,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/germany/berlin,52 °F,2026-08-24T01:27:03.395074+00:00
Kiritimati,Drizzle. Overcast. Warm.,Mon 3:27 pm,https://www.timeanddate.com/weather/kiribati/kiritimati,85 °F,2026-08-24T01:27:03.395074+00:00
São Paulo,Passing clouds. Cool.,Sun 10:27 pm,https://www.timeanddate.com/weather/brazil/sao-paulo,59 °F,2026-08-24T01:27:03.395074+00:00
Bogota,Passing clouds. Cool.,Sun 8:27 pm,https://www.timeanddate.com/weather/colombia/bogota,59 °F,2026-08-24T01:27:03.395074+00:00
Kolkata,Fog. Warm.,Mon 6:57 am,https://www.timeanddate.com/weather/india/kolkata,82 °F,2026-08-24T01:27:03.395074+00:00
Seattle,Overcast. Mild.,Sun 6:27 pm,https://www.timeanddate.com/weather/usa/seattle,74 °F,2026-08-24T01:27:03.395074+00:00
Boston,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/boston,67 °F,2026-08-24T01:27:03.395074+00:00
Kuala Lumpur,Passing clouds. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,84 °F,2026-08-24T01:27:03.395074+00:00
Seoul,Scattered clouds. Warm.,Mon 10:27 am,https://www.timeanddate.com/weather/south-korea/seoul,88 °F,2026-08-24T01:27:03.395074+00:00
Brasilia,Clear. Mild.,Sun 10:27 pm,https://www.timeanddate.com/weather/brazil/brasilia,75 °F,2026-08-24T01:27:03.395074+00:00
Kuwait City,Passing clouds. Extremely hot.,Mon 4:27 am,https://www.timeanddate.com/weather/kuwait/kuwait-city,100 °F,2026-08-24T01:27:03.395074+00:00
Shanghai,Partly sunny. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/china/shanghai,88 °F,2026-08-24T01:27:03.395074+00:00
Brisbane,Cool.,Mon 11:27 am,https://www.timeanddate.com/weather/australia/brisbane,66 °F,2026-08-24T01:27:03.395074+00:00
Kyiv,Clear. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/ukraine/kyiv,60 °F,2026-08-24T01:27:03.395074+00:00
Singapore,Partly sunny. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/singapore/singapore,86 °F,2026-08-24T01:27:03.395074+00:00
Brussels,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/belgium/brussels,54 °F,2026-08-24T01:27:03.395074+00:00
La Paz,Low clouds. Quite cool.,Sun 9:27 pm,https://www.timeanddate.com/weather/bolivia/la-paz,42 °F,2026-08-24T01:27:03.395074+00:00
Sofia,Passing clouds. Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/bulgaria/sofia,71 °F,2026-08-24T01:27:03.395074+00:00
Bucharest,Clear. Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/romania/bucharest,73 °F,2026-08-24T01:27:03.395074+00:00
Lagos,Passing clouds. Mild.,Mon 2:27 am,https://www.timeanddate.com/weather/nigeria/lagos,73 °F,2026-08-24T01:27:03.395074+00:00
St. John's,Partly cloudy. Cool.,Sun 10:57 pm,https://www.timeanddate.com/weather/canada/st-johns,61 °F,2026-08-24T01:27:03.395074+00:00
Budapest,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/hungary/budapest,57 °F,2026-08-24T01:27:03.395074+00:00
Lahore,Passing clouds. Warm.,Mon 6:27 am,https://www.timeanddate.com/weather/pakistan/lahore,84 °F,2026-08-24T01:27:03.395074+00:00
Stockholm,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/sweden/stockholm,54 °F,2026-08-24T01:27:03.395074+00:00
Buenos Aires,Passing clouds. Cool.,Sun 10:27 pm,https://www.timeanddate.com/weather/argentina/buenos-aires,48 °F,2026-08-24T01:27:03.395074+00:00
Las Vegas,Scattered clouds. Extremely hot.,Sun 6:27 pm,https://www.timeanddate.com/weather/usa/las-vegas,108 °F,2026-08-24T01:27:03.395074+00:00
Suva,Overcast. Mild.,Mon 1:27 pm,https://www.timeanddate.com/weather/fiji/suva,76 °F,2026-08-24T01:27:03.395074+00:00
Cairo,Clear. Warm.,Mon 4:27 am,https://www.timeanddate.com/weather/egypt/cairo,77 °F,2026-08-24T01:27:03.395074+00:00
Lima,Passing clouds. Mild.,Sun 8:27 pm,https://www.timeanddate.com/weather/peru/lima,72 °F,2026-08-24T01:27:03.395074+00:00
Sydney,Sunny. Mild.,Mon 11:27 am,https://www.timeanddate.com/weather/australia/sydney,70 °F,2026-08-24T01:27:03.395074+00:00
Calgary,Partly sunny. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/canada/calgary,70 °F,2026-08-24T01:27:03.395074+00:00
Lisbon,Partly cloudy. Mild.,Mon 2:27 am,https://www.timeanddate.com/weather/portugal/lisbon,68 °F,2026-08-24T01:27:03.395074+00:00
Taipei,Scattered showers. Broken clouds. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/taiwan/taipei,88 °F,2026-08-24T01:27:03.395074+00:00
Canberra,Partly sunny. Cool.,Mon 11:27 am,https://www.timeanddate.com/weather/australia/canberra,59 °F,2026-08-24T01:27:03.395074+00:00
London,Clear. Cool.,Mon 2:27 am,https://www.timeanddate.com/weather/uk/london,59 °F,2026-08-24T01:27:03.395074+00:00
Tallinn,Clear. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/estonia/tallinn,59 °F,2026-08-24T01:27:03.395074+00:00
Cape Town,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/south-africa/cape-town,55 °F,2026-08-24T01:27:03.395074+00:00
Los Angeles,Sunny. Warm.,Sun 6:27 pm,https://www.timeanddate.com/weather/usa/los-angeles,82 °F,2026-08-24T01:27:03.395074+00:00
Tashkent,Passing clouds. Mild.,Mon 6:27 am,https://www.timeanddate.com/weather/uzbekistan/tashkent,69 °F,2026-08-24T01:27:03.395074+00:00
Caracas,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/venezuela/caracas,81 °F,2026-08-24T01:27:03.395074+00:00
Madrid,Passing clouds. Mild.,Mon 3:27 am,https://www.timeanddate.com/weather/spain/madrid,72 °F,2026-08-24T01:27:03.395074+00:00
Tegucigalpa,Passing clouds. Warm.,Sun 7:27 pm,https://www.timeanddate.com/weather/honduras/tegucigalpa,77 °F,2026-08-24T01:27:03.395074+00:00
Casablanca,Mild.,Mon 2:27 am,https://www.timeanddate.com/weather/morocco/casablanca,72 °F,2026-08-24T01:27:03.395074+00:00
Managua,Passing clouds. Warm.,Sun 7:27 pm,https://www.timeanddate.com/weather/nicaragua/managua,84 °F,2026-08-24T01:27:03.395074+00:00
Tehran,Clear. Pleasantly warm.,Mon 4:57 am,https://www.timeanddate.com/weather/iran/tehran,81 °F,2026-08-24T01:27:03.395074+00:00
Chicago,Passing clouds. Mild.,Sun 8:27 pm,https://www.timeanddate.com/weather/usa/chicago,71 °F,2026-08-24T01:27:03.395074+00:00
Manila,Overcast. Warm.,Mon 9:27 am,https://www.timeanddate.com/weather/philippines/manila,85 °F,2026-08-24T01:27:03.395074+00:00
Tokyo,Passing clouds. Warm.,Mon 10:27 am,https://www.timeanddate.com/weather/japan/tokyo,84 °F,2026-08-24T01:27:03.395074+00:00
Copenhagen,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/denmark/copenhagen,57 °F,2026-08-24T01:27:03.395074+00:00
Melbourne,Partly sunny. Cool.,Mon 11:27 am,https://www.timeanddate.com/weather/australia/melbourne,59 °F,2026-08-24T01:27:03.395074+00:00
Toronto,Passing clouds. Cool.,Sun 9:27 pm,https://www.timeanddate.com/weather/canada/toronto,61 °F,2026-08-24T01:27:03.395074+00:00
Dallas,Scattered clouds. Extremely hot.,Sun 8:27 pm,https://www.timeanddate.com/weather/usa/dallas,103 °F,2026-08-24T01:27:03.395074+00:00
Mexico City,Mostly cloudy. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/mexico/mexico-city,64 °F,2026-08-24T01:27:03.395074+00:00
Vancouver,Partly sunny. Mild.,Sun 6:27 pm,https://www.timeanddate.com/weather/canada/vancouver,70 °F,2026-08-24T01:27:03.395074+00:00
Dar es Salaam,Mild.,Mon 4:27 am,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,70 °F,2026-08-24T01:27:03.395074+00:00
Miami,Partly cloudy. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/miami,79 °F,2026-08-24T01:27:03.395074+00:00
Vienna,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/austria/vienna,59 °F,2026-08-24T01:27:03.395074+00:00
Darwin,Sunny. Warm.,Mon 10:57 am,https://www.timeanddate.com/weather/australia/darwin,86 °F,2026-08-24T01:27:03.395074+00:00
Minneapolis,Scattered clouds. Pleasantly warm.,Sun 8:27 pm,https://www.timeanddate.com/weather/usa/minneapolis,78 °F,2026-08-24T01:27:03.395074+00:00
Warsaw,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/poland/warsaw,55 °F,2026-08-24T01:27:03.395074+00:00
Denver,Partly sunny. Mild.,Sun 7:27 pm,https://www.timeanddate.com/weather/usa/denver,72 °F,2026-08-24T01:27:03.395074+00:00
Minsk,Passing clouds. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/belarus/minsk,55 °F,2026-08-24T01:27:03.395074+00:00
Washington DC,Passing clouds. Warm.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/washington-dc,79 °F,2026-08-24T01:27:03.395074+00:00
Detroit,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/usa/detroit,65 °F,2026-08-24T01:27:03.395074+00:00
Montevideo,Overcast. Cool.,Sun 10:27 pm,https://www.timeanddate.com/weather/uruguay/montevideo,46 °F,2026-08-24T01:27:03.395074+00:00
Winnipeg,Mild.,Sun 8:27 pm,https://www.timeanddate.com/weather/canada/winnipeg,73 °F,2026-08-24T01:27:03.395074+00:00
Dhaka,Low clouds. Warm.,Mon 7:27 am,https://www.timeanddate.com/weather/bangladesh/dhaka,80 °F,2026-08-24T01:27:03.395074+00:00
Montréal,Passing clouds. Mild.,Sun 9:27 pm,https://www.timeanddate.com/weather/canada/montreal,66 °F,2026-08-24T01:27:03.395074+00:00
Yangon,Partly sunny. Warm.,Mon 7:57 am,https://www.timeanddate.com/weather/myanmar/yangon,81 °F,2026-08-24T01:27:03.395074+00:00
Doha,Clear. Hot.,Mon 4:27 am,https://www.timeanddate.com/weather/qatar/doha,91 °F,2026-08-24T01:27:03.395074+00:00
Moscow,Clear. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/russia/moscow,59 °F,2026-08-24T01:27:03.395074+00:00
Zagreb,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/croatia/zagreb,57 °F,2026-08-24T01:27:03.395074+00:00
Dubai,Clear. Extremely hot.,Mon 5:27 am,https://www.timeanddate.com/weather/united-arab-emirates/dubai,95 °F,2026-08-24T01:27:03.395074+00:00
Mumbai,Fog. Warm.,Mon 6:57 am,https://www.timeanddate.com/weather/india/mumbai,82 °F,2026-08-24T01:27:03.395074+00:00
Zürich,Clear. Cool.,Mon 3:27 am,https://www.timeanddate.com/weather/switzerland/zurich,57 °F,2026-08-24T01:27:03.395074+00:00
Dublin,Passing clouds. Quite cool.,Mon 2:27 am,https://www.timeanddate.com/weather/ireland/dublin,45 °F,2026-08-24T01:27:03.395074+00:00
Nairobi,Partly cloudy. Cool.,Mon 4:27 am,https://www.timeanddate.com/weather/kenya/nairobi,61 °F,2026-08-24T01:27:03.395074+00:00
